timestamp,value
1964-01-01,15.3
1964-02-01,17.7
1964-03-01,16.5
1964-04-01,8.6
1964-05-01,9.5
1964-06-01,9.1
1964-07-01,3.1
1964-08-01,9.3
1964-09-01,4.7
1964-10-01,6.1
1964-11-01,7.4
1964-12-01,15.1
1965-01-01,17.5
1965-02-01,14.2
1965-03-01,11.7
1965-04-01,6.8
1965-05-01,24.1
1965-06-01,15.9
1965-07-01,11.9
1965-08-01,8.9
1965-09-01,16.8
1965-10-01,20.1
1965-11-01,15.8
1965-12-01,17.0
1966-01-01,28.2
1966-02-01,24.4
1966-03-01,25.3
1966-04-01,48.7
1966-05-01,45.3
1966-06-01,47.7
1966-07-01,56.7
1966-08-01,51.2
1966-09-01,50.2
1966-10-01,57.2
1966-11-01,57.2
1966-12-01,70.4
1967-01-01,110.9
1967-02-01,93.6
1967-03-01,111.8
1967-04-01,69.5
1967-05-01,86.5
1967-06-01,67.3
1967-07-01,91.5
1967-08-01,107.2
1967-09-01,76.8
1967-10-01,88.2
1967-11-01,94.3
1967-12-01,126.4
1968-01-01,121.8
1968-02-01,111.9
1968-03-01,92.2
1968-04-01,81.2
1968-05-01,127.2
1968-06-01,110.3
1968-07-01,96.1
1968-08-01,109.3
1968-09-01,117.2
1968-10-01,107.7
1968-11-01,86.0
1968-12-01,109.8
1969-01-01,104.4
1969-02-01,120.5
1969-03-01,135.8
1969-04-01,106.8
1969-05-01,120.0
1969-06-01,106.0
1969-07-01,96.8
1969-08-01,98.0
1969-09-01,91.3
1969-10-01,95.7
1969-11-01,93.5
1969-12-01,97.9
1970-01-01,111.5
1970-02-01,127.8
1970-03-01,102.9
1970-04-01,109.5
1970-05-01,127.5
1970-06-01,106.8
1970-07-01,112.5
1970-08-01,93.0
1970-09-01,99.5
1970-10-01,86.6
1970-11-01,95.2
1970-12-01,83.5
1971-01-01,91.3
1971-02-01,79.0
1971-03-01,60.7
1971-04-01,71.8
1971-05-01,57.5
1971-06-01,49.8
1971-07-01,81.0
1971-08-01,61.4
1971-09-01,50.2
1971-10-01,51.7
1971-11-01,63.2
1971-12-01,82.2
1972-01-01,61.5
1972-02-01,88.4
1972-03-01,80.1
1972-04-01,63.2
1972-05-01,80.5
1972-06-01,88.0
1972-07-01,76.5
1972-08-01,76.8
1972-09-01,64.0
1972-10-01,61.3
1972-11-01,41.6
1972-12-01,45.3
1973-01-01,43.4
1973-02-01,42.9
1973-03-01,46.0
1973-04-01,57.7
1973-05-01,42.4
1973-06-01,39.5
1973-07-01,23.1
1973-08-01,25.6
1973-09-01,59.3
1973-10-01,30.7
1973-11-01,23.9
1973-12-01,23.3
1974-01-01,27.6
1974-02-01,26.0
1974-03-01,21.3
1974-04-01,40.3
1974-05-01,39.5
1974-06-01,36.0
1974-07-01,55.8
1974-08-01,33.6
1974-09-01,40.2
1974-10-01,47.1
1974-11-01,25.0
1974-12-01,20.5
1975-01-01,18.9
1975-02-01,11.5
1975-03-01,11.5
1975-04-01,5.1
1975-05-01,9.0
1975-06-01,11.4
1975-07-01,28.2
1975-08-01,39.7
1975-09-01,13.9
1975-10-01,9.1
1975-11-01,19.4
1975-12-01,7.8
1976-01-01,8.1
1976-02-01,4.3
1976-03-01,21.9
1976-04-01,18.8
1976-05-01,12.4
1976-06-01,12.2
1976-07-01,1.9
1976-08-01,16.4
1976-09-01,13.5
1976-10-01,20.6
1976-11-01,5.2
1976-12-01,15.3
1977-01-01,16.4
1977-02-01,23.1
1977-03-01,8.7
1977-04-01,12.9
1977-05-01,18.6
1977-06-01,38.5
1977-07-01,21.4
1977-08-01,30.1
1977-09-01,44.0
1977-10-01,43.8
1977-11-01,29.1
1977-12-01,43.2
1978-01-01,51.9
1978-02-01,93.6
1978-03-01,76.5
1978-04-01,99.7
1978-05-01,82.7
1978-06-01,95.1
1978-07-01,70.4
1978-08-01,58.1
1978-09-01,138.2
1978-10-01,125.1
1978-11-01,97.9
1978-12-01,122.7
1979-01-01,166.6
1979-02-01,137.5
1979-03-01,138.0
1979-04-01,101.5
1979-05-01,134.4
1979-06-01,149.5
1979-07-01,159.4
1979-08-01,142.2
1979-09-01,188.4
1979-10-01,186.2
1979-11-01,183.3
1979-12-01,176.3
1980-01-01,159.6
1980-02-01,155.0
1980-03-01,126.2
1980-04-01,164.1
1980-05-01,179.9
1980-06-01,157.3
1980-07-01,136.3
1980-08-01,135.4
1980-09-01,155.0
1980-10-01,164.7
1980-11-01,147.9
1980-12-01,174.4
1981-01-01,114.0
1981-02-01,141.3
1981-03-01,135.5
1981-04-01,156.4
1981-05-01,127.5
1981-06-01,90.0
1981-07-01,143.8
1981-08-01,158.7
1981-09-01,167.3
1981-10-01,162.4
1981-11-01,137.5
1981-12-01,150.1
1982-01-01,111.2
1982-02-01,163.6
1982-03-01,153.8
1982-04-01,122.0
1982-05-01,82.2
1982-06-01,110.4
1982-07-01,106.1
1982-08-01,107.6
1982-09-01,118.8
1982-10-01,94.7
1982-11-01,98.1
1982-12-01,127.0
1983-01-01,84.3
1983-02-01,51.0
1983-03-01,66.5
1983-04-01,80.7
1983-05-01,99.2
1983-06-01,91.1
1983-07-01,82.2
1983-08-01,71.8
1983-09-01,50.3
1983-10-01,55.8
1983-11-01,33.3
1983-12-01,33.4
